ID,Neighborhood,Latitude,Longitude,Listing Type,Price,Available Days per Year,Host Listings Count
15599291,Union Station,39.75081,-104.99587,Entire home/apt,120.0,253,2
15602226,Montclair,39.73236,-104.91954,Entire home/apt,132.0,167,1
15644895,Cherry Creek,39.71542,-104.94251,Entire home/apt,257.0,161,1
15654529,North Park Hill,39.75697,-104.91488,Private room,90.0,90,1
15674568,University,39.66913,-104.96574,Entire home/apt,115.0,81,1
15743145,Cole,39.770382,-104.96701,Entire home/apt,166.0,115,2
15746223,West Colfax,39.73944,-105.03462,Entire home/apt,96.0,112,1
15766497,Five Points,39.75639,-104.97396,Entire home/apt,68.0,79,1
15788708,City Park West,39.75021,-104.97003,Entire home/apt,385.0,126,3
15831072,Whittier,39.75703,-104.96115,Entire home/apt,93.0,178,2
15832774,North Park Hill,39.76164,-104.91357,Entire home/apt,45.0,328,2
15844892,Cheesman Park,39.73257,-104.97233,Entire home/apt,134.0,307,3
15846078,Hale,39.73512,-104.92318,Entire home/apt,82.0,163,1
15869291,Sloan Lake,39.74949,-105.02689,Entire home/apt,156.0,32,2
15872268,Capitol Hill,39.73694,-104.97988,Entire home/apt,78.0,363,1
15874051,Whittier,39.75991,-104.9658,Entire home/apt,350.0,109,2
15897404,CBD,39.74516,-104.99716,Entire home/apt,79.0,365,2
15902411,Northeast Park Hill,39.76241,-104.90937,Private room,89.0,82,1
15912228,CBD,39.74568,-104.99608,Entire home/apt,79.0,365,2
15978051,Speer,39.716354,-104.98674,Private room,138.0,365,4
15999220,Five Points,39.75192,-104.97452,Entire home/apt,500.0,354,3
16087125,Five Points,39.75798,-104.98108,Entire home/apt,144.0,313,1
16087887,Virginia Village,39.69247,-104.91906,Entire home/apt,80.0,103,2
16135804,City Park,39.74271,-104.94538,Entire home/apt,109.0,122,2
16154921,West Highland,39.76806,-105.05238,Entire home/apt,320.0,345,1
16163913,North Park Hill,39.7579,-104.93859,Entire home/apt,100.0,8,1
16177792,University Park,39.68041,-104.95041,Entire home/apt,269.0,209,1
16217910,Northeast Park Hill,39.76979,-104.92398,Private room,51.0,339,1
16258368,Baker,39.72304,-104.98885,Entire home/apt,104.0,231,1
16289371,Jefferson Park,39.74888,-105.02169,Entire home/apt,155.0,333,1
16333715,Union Station,39.7575,-105.00396,Entire home/apt,150.0,334,1
16406440,Speer,39.71238,-104.98246,Entire home/apt,82.0,334,2
16438823,City Park West,39.74226,-104.96413,Entire home/apt,170.0,364,1
16452024,Regis,39.78714,-105.03676,Private room,65.0,169,1
16516286,Ruby Hill,39.6884,-105.01157,Entire home/apt,133.0,273,3
16548314,Congress Park,39.73344421386719,-104.95793151855467,Entire home/apt,111.0,206,1
16582485,Union Station,39.75437,-105.0047,Entire home/apt,119.0,179,1
16660933,Platt Park,39.68493,-104.9828,Entire home/apt,122.0,349,1
16676955,West Colfax,39.74579,-105.02551,Entire home/apt,65.0,179,1
16687728,East Colfax,39.74399,-104.90066,Entire home/apt,71.0,89,1
16707907,Sunnyside,39.77665,-105.0247,Entire home/apt,110.0,82,1
16718503,Union Station,39.75466,-104.99614,Entire home/apt,229.0,365,14
16742127,Sunnyside,39.77802,-105.02035,Entire home/apt,101.0,164,1
16838784,Cole,39.76541,-104.97096,Private room,45.0,243,1
16844845,Highland,39.76711,-105.00898,Entire home/apt,120.0,15,1
16857174,Five Points,39.7547,-104.98525,Private room,62.0,314,1
16870084,Union Station,39.75013,-104.99635,Entire home/apt,129.0,365,14
16944084,Cole,39.76586,-104.96018,Private room,65.0,364,2
16947747,Sunnyside,39.77086,-105.01055,Entire home/apt,106.0,56,3
17071293,Gateway - Green Valley Ranch,39.79391,-104.73903,Private room,77.0,87,1
